163;6714;2008-04-06;Benedetti, Mario;Adioses y Bienvenidas.     ;Seix Barral;;82-1;Disponible
164;6715;2008-04-06;Katzenbach, John;El hombre equivocado.;Ediciones B;;82-32;Disponible
165;6716;2008-04-06;Katzenbach, John;El psicoanalista.;Ediciones B;;82-32;Disponible
166;6717;2008-04-06;Fontanarrosa, R.;El †rea 18.;Ediciones la Flor;;82-32;Disponible
167;6718;2008-04-06;Fontanarrosa, R.;El rey de la milonga.;Ediciones la Flor;;82-34;Disponible
168;6719;2008-04-06;Fontanarrosa, R.;Nada del otro mundo.;Ediciones la Flor;;82-34;Disponible
169;6720;2008-04-06;De Santis, Pablo;Lucas Lenz y el museo del universo;Alfaguara;;82-32;Disponible
170;6721;2008-04-06;Tadich, Mar°a;Cuentos con chicos.;Letra Impresa;;82-34;Disponible
171;6722;2008-04-06;Wolf, Ema;18 de Amor.;Sudamericana;;82-32;Disponible
172;6723;2008-04-06;Chinoy, Ely;Introducci¢n a la sociolog°a.     ;Paid¢s;;316;Disponible
173;6724;2008-04-06;Devetach, Laura;Una caja llena de?         ;Ediciones Colihue;;82-32;Disponible
174;6725;2008-04-06;Mari§o, Ricardo;Cuentos rid°culos.;Sudamericana;;82-34;Disponible
175;6726;2008-04-06;Rold†n, Gustavo;Animal de patas largas.;Sudamericana;;82-34;Disponible
176;6727;2008-04-06;Shua, Ana Mar°a;Ani, salva la perra Laika.          ;Sudamericana;;82-34;Disponible
177;6728;2008-04-28;Aguinis, Marcos;La pasi¢n seg£n Carmela.;Sudamericana;;82-32;Disponible
178;6729;2008-04-28;Alcoba, Laura;La casa de los conejos.;edhasa;;82-32;Disponible
179;6730;2008-04-28;Schilink, Bernhard;El lector.;Anagrama;;82-32;Disponible
180;6731;2008-04-28;De Santis, Pablo;El enigma de Par°s.;Planeta;;82-32;Disponible
181;6732;2008-04-28;Serrano, Marcela;La llorona.                         ;Planeta;;82-32;Disponible
182;6733;2008-04-28;Auster, Pablo;El palacio de la luna.;Anagrama;;82-32;Disponible
183;6734;2008-04-28;Cort†zar, Julio;Un tal Lucas.;Punto de lectura;;82-32;Disponible
184;6735;2008-04-28;Giardinelli, Mempo;La revoluci¢n en bicicleta.;byblos;;82-32;Disponible
185;6736;2008-04-28;Melville, Hern†n;Moby Dick, una versi¢n para chicos.;Estrada;;82-32;Disponible
186;6737;2008-04-28;Valentino, Esteban;Sexto sentido y otros cuentos.;Estrada;;82-34;Disponible
187;6738;2008-04-28;Koham, Mart°n;Dos veces Junio.;Debolsillo;;82-32;Disponible
188;6739;2008-04-28;Castro, Nelson;Eva.              ;Planeta;;82-94;Disponible
189;6740;2008-04-28;Aguinis, Marcos;Atroz encanto.         ;Planeta;;82-4;Disponible
190;6741;2008-04-28;Caparr¢s, Mart°n;Valfierno.;Planeta;;82-32;Disponible
191;6742;2008-04-28;Lewis, C.S.;Cr¢nicas de Narnia. El caballo y el muchacho?;Destino;;82-32;Disponible
192;6743;2008-04-28;Twain, Mark;Aventuras de Huck Finn.;Acme;;82-32;Disponible
193;6744;2008-04-28;Twain, Mark;Aventuras de Huckleberry Finn.;bibliotecas aventura;;82-32;Disponible
194;6745;2008-04-28;Twain, Mark;Aventuras de Huck Finn.;Acme;;82-32;Disponible
195;6746;2008-04-28;Berocay, Roy;Pateando lunas.;Alfaguara;;82-32;Disponible
196;6747;2008-06-24;;Atlas De Ciencias.     ;OcÇano;;912;Disponible
197;6748;2008-06-24;Bola§o, Roberto;Los detectives salvajes.;Anagrama;;82-32;Disponible
198;6749;2008-06-24;Katzenbach, John;Un asunto pendiente.;Alfaguara;;82-32;Disponible
199;6750;2008-06-24;Katzenbach, John;El hombre equivocado.;Latrama;;82-32;Disponible
200;6751;2008-06-24;Antolog°a;Cuentos de miedo.;Estrada;;82-34;Disponible
201;6752;2008-06-24;Ende,  Michael;Momo.;Alfaguara;;82-32;Disponible
202;6753;2008-06-24;Vaccarini, Franco;La mecedora del fantasma.;Estrada;;82-34;Disponible
203;6754;2008-06-24;Auster, Paul ;El pa°s de las £ltimas cosas.;Anagrama;;82-32;Disponible
204;6755;2008-06-24;Auster, Paul;Mr. VÇrtigo .            ;Anagrama;;82-34;Disponible
205;6756;2008-06-24;Poe, Edgar  Allan;Cuentos. ;Debolsillo;;82-34;Disponible
206;6757;2008-06-24;Latarjet - Ruiz Liard;Anatom°a Humana Tomo II.     ;Panamericana;;611;Disponible
207;6758;2008-06-24;Auster, Paul;Leviat†n.;Anagrama;;82-32;Disponible
208;6759;2008-06-24;Bonelli, Florencia;El cuarto Arcano.;Alfaguara;;82-32;Disponible
209;6760;2008-06-24;Antolog°a;Cuentos infantiles.  ;OcÇano;;82-3;Disponible
210;6761;2008-06-24;Conan Doyle, Arthur;Estudio en Escarlata.;G†rgola;;82-32;Disponible
211;6762;2008-06-24;Schujer, Silvia;La c†mara oculta.;Alfaguara;;82-32;Disponible
212;6763;2008-06-24;Sangenis, Patricia;Mi mÇtodo, para estar en forma .  ;Grupo Norma;;796;Disponible
213;6764;2008-06-24;Bombara, Nora;Ciencias Naturales.     ;Puerto de Palos;;50-075;Disponible
214;6765;2008-06-24;Drago;Historia III.       ;        A-Z;;93;Disponible
215;6766;2008-06-24;Luchilo, Lucas;Ciencias Sociales.      ;Estrada;;972.075;Disponible
216;6767;2008-06-24;;Ciencias Naturales.    ;Santillana;;50-075;Disponible
217;6768;2008-06-24;Nik;Gaturro 5.        ;Ediciones de la Flor;;82-36;Disponible
218;6769;2008-06-24;Nik;Gaturro 6.       ;Ediciones de la Flor;;82-36;Disponible
219;6770;2008-06-24;Nik;Gaturro 7.      ;Ediciones de la Flor;;82-36;Disponible
220;6771;2008-08-27;Forsyth, Frederick;El Afgano.;Debolsillo;;82-32;Disponible
221;6772;2008-08-27;Forsyth, Frederick;Odessa.;Debolsillo;;82-32;Disponible
222;6773;2008-08-27;Loza, Cristina;La hora del lobo.;emecÇ;;82-32;Disponible
223;6774;2008-08-27;Plager, Silvia;Las damas ocultas del Greco.;Planeta;;82-32;Disponible
224;6775;2008-08-27;Pi§eiro, Claudia;Elena sabe.;Alfaguara;;82-32;Disponible
225;6776;2008-08-27;Belli, Gioconda;El pergamino de la seducci¢n.;Seix Barral;;82-32;Disponible
226;6777;2008-08-27;Rodr°guez, Antonio;Chiquita.;Alfaguara;;82-32;Disponible
227;6778;2008-08-27;Ruiz Zaf¢n, Carlos;El juego del †ngel.;Planeta;;82-32;Disponible
228;6779;2008-08-27;Bonelli, Florencia;El puerto de las tormentas.;Aguilar;;82-32;Disponible
229;6780;2008-08-27;Cabral, Graciela;Mi amigo el rey.;Alfaguara;;82-34;Disponible
230;6781;2008-08-27;Alighieri, Dante;La divina comedia.       ;Angel Chiclana;;82-1;Disponible
231;6782;2008-08-27;Huidobro, Norma;QuiÇn conoce a Greta Garbo?;Grupo Norma;;82-32;Disponible
232;6783;2008-08-27;Tamaro, Susana;Donde el coraz¢n te lleve.;booket;;82-32;Disponible
233;6784;2008-08-27;Antolog°a;La vida te despeina.      ;Planeta;;82-3;Disponible
234;6785;2008-08-27;JimÇnez, Juan Ram¢n;Platero y yo.        ;Longseller;;82-3;Disponible
235;6786;2008-08-27;Verne, Julio;Viaje al centro de la tierra.   ;Gradifco;;82-35;Disponible
236;6787;2008-08-27;GuillÇn, Nicol†s;Ay, se§ora, mi gallina.      ;Colihue;;82-35;Disponible
237;6788;2008-08-27;Antolog°a;8 cuentos 8.;Colihue;;82-082;Disponible
238;6789;2008-08-27;Falbo, Graciela;Cuentos de otros planetas .    ;Colihue;;82-35;Disponible
239;6790;2008-10-09;Bornemann, Elsa;Los desmaravilladores.;Alfaguara;;82-34;Disponible
240;6791;2008-10-09;Bornemann, Elsa;La edad del pavo.;Alfaguara;;82-32;Disponible
241;6792;2008-10-09;Devetach, Laura;La plaza del piol°n.;Alfaguara;;82-34;Disponible
242;6793;2008-10-09;Bradbury, Ray;El pa°s de Octubre.   ;Minotauro;;82-3;Disponible
243;6794;2008-10-09;Verne, Julio;Viaje al centro de la  tierra.    ;AndrÇs Bello;;82-35;Disponible
244;6795;2008-10-09;Stevenson, Robert L.;La isla del tesoro.;AndrÇs Bello;;82-32;Disponible
245;6796;2008-10-09;Matheson, Richard;Soy leyenda.        ;Minotauro;;82-93;Disponible
246;6797;2008-10-09;Reato, Ceferino;Operaci¢n Traviata®QuiÇn mat¢ a Rucci?     ;Sudamericana;;82-93;Disponible
247;6798;2008-10-09;Paluch, Ari;El combustible espiritual.     ;Minotauro;;37-034;Disponible
248;6799;2008-10-09;Kawabata, Yasunari;Kioto.;EmecÇ;;82-32;Disponible
249;6800;2008-10-09;Nik;Gaturro 1.          ;Ediciones de la flor;;82-36;Disponible
250;6801;2008-10-09;Nik;Gaturro 3.  ;Ediciones de la flor;;82-36;Disponible
251;6802;2008-10-09;Nik;Gaturro 11.    ;Ediciones de la flor;;82-36;Disponible
252;6803;2008-10-17;Mu§oz Molina, Antonio;Sefarad.;Alfaguara;;82-32;Disponible
253;6804;2008-10-17;Pauls, Alan;El pasado.;Anagrama;;82-32;Disponible
254;6805;2008-10-17;Ishiguro, Kazuo;Los restos del d°a.;Anagrama;;82-32;Disponible
255;6806;2008-10-17;Calder¢n, Reyes;Los cr°menes del n£mero primo.;del nuevo extremo;;82-32;Disponible
256;6807;2008-10-17;Saki;Cuentos escogidos.;Claridad;;82-34;Disponible
257;6808;2008-10-17;Stamateas, Bernardo;Gente t¢xica.         ;Vergara editor;;37.034;Disponible
258;6809;2008-10-17;Manguel, Alberto;Breve tratado de la pasi¢n.          ;Lumen;;930.22;Disponible
259;6810;2008-10-17;Tamaro, Susana;Donde el coraz¢n te lleve.;Booket;;82-34;Disponible
260;6811;2008-10-17;Blaisten, Isidoro;Cerrado por melancol°a.      ;Seix Barral;;82-3;Disponible
261;6812;2008-10-17;Cambaceres, Eugenio;Sin rumbo.;Ediciones del Valle;;82-32;Disponible
262;6813;2008-10-17;Martel, Juli†n;La bolsa.        ;Losada;;82-94;Disponible
263;6814;2008-10-17;Alcott, Mansfield;Cuentos de mujeres por mujeres (I)    ;Longseller;;82-34;Disponible
264;6815;2008-10-17;Serrano, Marcela;Cuentos de mujeres solas.;Alfaguara;;82-34;Disponible
